Rank Nation Nation_id Gold Silver Bronze Total
1 United States (USA) 15 16 18 49
2 Russia (RUS) 14 9	3 26
3 Soviet_Union (URS) 10 9 5 24
4 Austria (AUT) 7 9 4 20
5 Great Britain (GBR) 5	3 7	15
6 Sweden (SWE) 5 3 2 10
7 Canada (CAN) 4 11 10	25
8 East Germany (GDR) 3 3 4 10
9 France (FRA) 3 2 7 12
10 Germany (GER) 3 2 3 8
11 Norway (NOR)	3 2	1 6
12 Unified_Team (EUN) 3	1 1	5
13 Japan (JPN) 2 2 1 5
14 China (CHN) 1 2 4 7
15 United Team of Germany (EUA)	1 2	0 3
16 Netherlands (NED) 1 2 0 3
17 Czechoslovakia (TCH)	1 1	3 5
18 Finland (FIN) 1 1 0 2
19 South_Korea (KOR) 1 1 0 2
20 Belgium (BEL) 1 0 1 2
21 Ukraine (UKR) 1 0 1 2
22 Russian_Empire (RU1)	1 0	0 1
23 Hungary (HUN) 0 2 4 6
24 Switzerland (SUI) 0 2 1 3
25 West_Germany (FRG) 0 0 2	2
26 Italy (ITA) 0 0 2 2
27 Kazakhstan (KAZ) 0 0	1 1
Total 86 85	85 256
