Nation, 08, 20, 24,	28, 32, 36, 48,	52, 56, 60, 64,	68, 72, 76, 80,	84, 88, 92, 94,	98, 02, 06, 10, 14, Years
Argentina, 1,	0, 0,	0, 0,	0, 0,	0, 0,	0, 0,	0, 0,	0, 0,	0, 0,	0, 0,	0, 0,	0, 0,	0, 1
Armenia	0, 0, 0, 0,	0, 0,	0, 0,	0, 0,	0, 0,	0, 0,	0, 0,	0, 0,	0, 4,	3, 2,	0, 0,	3
Australia, 0, 0, 0, 0, 0, 0, 0, 3, 2, 6 0, 0, 0, 2, 2, 2, 4 3, 2, 4 2, 1 1 4 14
Austria,	0, 0, 4 9	2, 12, 10	4 8	6 10 8 3, 6 3, 0, 2, 1	0,	1	0,	1	2,	4	19
Azerbaijan,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	4	3,	2,	0,	2,	4
Belgium,	0,	2,	3,	2,	1	4	3,	0,	0,	0,	0,	0,	0,	0,	0,	1	1	0,	0,	0,	1	1	2,	1	12
Belarus,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	5	2,	2,	1	0,	0,	4
Brazil,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1	1
Bulgaria,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2,	2,	1	1	4	3,	5	0,	0,	7
Canada,	0,	0,	2,	5	6	6	4	6	7	8	12,	10	7	11	6	15	17	13,	13,	10	12,	13,	12,	17	22
China,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2,	6	6	4	4	4	11	9	9	9	10
Chinese_Taipei	0	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2,	1	0,	1	0,	0,	0,	0,	3
Croatia	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2,	0,	1	1	1	0,	0,	4
Czechoslovakia	0,	0,	1	3,	1	3,	7	0,	4	2,	8	8	1	6	2,	3,	6	6	0,	0,	0,	0,	0,	0,	15
Czech_Republic	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	8	5	4	1	4	3,	6
Denmark	0,	0,	0,	0,	0,	0,	1	1	0,	0,	0,	0,	0,	0,	0,	0,	1	2,	1	1	0,	0,	0,	0,	6
Estonia	0,	0,	0,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1	1	1	1	3,	5	2,	8
Finland	0,	3,	2,	3,	1	1	0,	2,	1	0,	0,	0,	0,	1	2,	0,	0,	3,	3,	1	1	2,	3,	0,	15
France	0,	2,	5	3,	2,	0,	3,	2,	3,	4	5	5	5	1	1	5	6	12,	9	14	8	8	8	9	22
Georgia	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1	2,	3,	1	4
Germany	3,	0,	0,	8	1	6	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	6	10,	6	4	5	8	10,	11
United_Team_of_Germany	0,	0,	0,	0,	0,	0,	0,	8	4	11	12,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	4
East_Germany	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	8	7	10,	7	8	5	0,	0,	0,	0,	0,	0,	0,	6
West_Germany	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	11	5	4	7	9	8	0,	0,	0,	0,	0,	0,	0,	6
Great_Britain	11	6	6	6	4	12,	9	8	8	4	5	7	5	12,	9	10,	9	7	6	1	2,	2,	7	6	24
Hungary	0,	0,	0,	0,	4	7	6	6	2,	0,	2,	2,	1	3,	2,	2,	3,	5	3,	2,	2,	5	3,	0,	18
Israel	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1	3,	4	4	2,	3,	6
Italy	0,	0,	0,	0,	0,	2,	2,	1	2,	2,	2,	2,	1	7	2,	3,	4	7	0,	6	9	7	9	11	18
Japan	0,	0,	0,	0,	2,	5	0,	0,	0,	3,	4	5	4	3,	3,	4	5	6	4	7	4	6	8	10,	17
Kazakhstan	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2,	5	0,	0,	2,	2,	4
South_Korea	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	3,	1	1	1	2,	2,	2,	2,	1	4	0,	2,	3,	14
North_Korea	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2,	6	0,	0,	0,	4	1	0,	4
Latvia	0,	0,	0,	0,	0,	4	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2,	3,	0,	0,	0,	0,	0,	3,
Lithuania	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2,	2,	2,	2,	2,	0,	2,	6
Luxembourg	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1	0,	1	0,	0,	2
Mexico	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2,	2,	0,	0,	0,	0,	0,	0,	2,
Netherlands	0,	0,	0,	0,	0,	0,	0,	1	2,	2,	1	0,	1	1	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	6
Norway	0,	6	1	3,	1	4	3,	4	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1	9
Philippines	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1	1
Poland	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2,	2,	3,	0,	1	3,	2,	3,	5	4	4	4	0,	11
Romania	0,	0,	0,	0,	0,	3,	0,	0,	0,	0,	0,	1	1	0,	0,	0,	0,	1	2,	1	2,	2,	1	1	10,
South_Africa	0,	0,	0,	0,	0,	0,	0,	0,	0,	4	0,	0,	0,	0,	0,	0,	0,	0,	1	1	0,	0,	0,	0,	3,
Russia	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	15	17	16	16	16	15	6
Russian_Empire	1	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1
Serbia_and_Montenegro	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1	0,	0,	1
Slovakia	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1	3,	0,	1	1	4
Slovenia	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2,	0,	1	1	1	2,	0,	5
Spain	0,	0,	0,	0,	0,	0,	0,	0,	1	0,	0,	0,	0,	0,	1	0,	1	0,	1	1	0,	0,	2,	4	7
Sweden	4	4	1	1	2,	1	0,	2,	1	0,	1	1	1	0,	1	2,	2,	1	0,	1	0,	1	1	2,	19
Switzerland	0,	1	1	2,	0,	3,	7	5	4	3,	8	1	1	3,	2,	2,	2,	0,	1	1	4	3,	4	0,	20,
Turkey	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1	1	2,	3,
Soviet_Union	0,	0,	0,	0,	0,	0,	0,	0,	0,	4	4	10,	10,	16	16	17	17	0,	0,	0,	0,	0,	0,	0,	8
Ukraine	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	10,	10,	11	11	7	6	6
Unified_Team	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	17	0,	0,	0,	0,	0,	0,	1
United_States	1	2,	3,	6	12,	9	9	10,	10,	12,	12,	12,	11	15	14	18	16	16	12,	13,	14	16	15	15	24
Uzbekistan	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	4	2,	4	3,	1	1	6
Yugoslavia	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1	2,	1	0,	0,	0,	0,	0,	0,	0,	3,
Skaters	21	26	29	51	39	84	64	63,	59	71	88	96	67	105	83,	112,	128	133,	129	145	143,	147	146	149	
Nations	6	8	11	12,	13,	17	12,	15	15	14	15	17	18	18	20	20	26	28	28	37	31	35	31	30	
Year 	08	20	24	28	32	36	48	52	56	60	64	68	72,	76	80	84	88	92,	94	98	02,	06	10	14	24
