rank,Athlete,NationID,G,S,B
1,Gillis Grafström,SWE,3,1,0
2,Sonja Henie,NOR,3,0,0
2,Irina Rodnina,URS,3,0,0
4,Yevgeny Plushenko,RUS,2,2,0
5,Artur Dmitriev,RUS,2,1,0
6,Andree Brunet,FRA,2,0,1
6,Pierre Brunet,FRA,2,0,1
8,Yekaterina Gordeyeva,RUS,2,0,0
8,Aleksandr Zaitsev,URS,2,0,0
8,Maxim Trankov,RUS,2,0,0
8,Oksana Grishuk,RUS,2,0,0
8,Lyudmila Belousova,URS,2,0,0
8,Richard Button,USA,2,0,0
8,Sergei Grinkov,RUS,2,0,0
8,Katarina Witt,GDR,2,0,0
8,Tatiana Volosozhar,RUS,2,0,0
8,Yevgeny Platov,RUS,2,0,0
8,Oleg Protopopov,URS,2,0,0
8,Karl Schäfer,AUT,2,0,0
20,Tessa Virtue,CAN,1,2,0
20,Scott Moir,CAN,1,2,0
22,Sergei Ponomarenko,URS,1,1,1
22,Meryl Davis,USA,1,1,1
22,Marina Klimova,URS,1,1,1
22,Charlie White,USA,1,1,1
26,Anton Sikharulidze,RUS,1,1,0
26,Natalya Mishkutenok,RUS,1,1,0
26,Kim Yu-na,KOR,1,1,0
26,Walter Jakobsson,FIN,1,1,0
26,Yelena Valova,URS,1,1,0
26,Ksenia Stolbova,RUS,1,1,0
26,Nataliya Bestemianova,URS,1,1,0
26,Fedor Klimov,RUS,1,1,0
26,Tenley Albright,USA,1,1,0
26,Ernst Baier,GER,1,1,0
26,Carol Heiss,USA,1,1,0
26,Elena Berezhnaya,RUS,1,1,0
26,Ludovika Jakobsson,FIN,1,1,0
26,Andrei Bukhin,URS,1,1,0
26,Sjoukje Dijkstra,NED,1,1,0
41,Zhao Hongbo,CHN,1,0,2
41,Shen Xue,CHN,1,0,2
43,Gwendal Peizerat,FRA,1,0,1
43,Christopher Dean,GBR,1,0,1
43,David Jenkins,USA,1,0,1
43,Florence Syers,GBR,1,0,1
43,Victor Petrenko,URS,1,0,1
43,Marina Anissina,FRA,1,0,1
43,Jayne Torvill,GBR,1,0,1
43,Elena Ilinykh,RUS,1,0,1
43,Nikita Katsalapov,RUS,1,0,1
43,Jeanette Altwegg,GBR,1,0,1
53,Aleksei Urmanov,RUS,1,0,0
53,Oksana Kazakova,RUS,1,0,0
53,Pierre Baugniet,BEL,1,0,0
53,Gennady Karponosov,URS,1,0,0
53,David Pelletier,CAN,1,0,0
53,Alfred Berger,AUT,1,0,0
53,Annie Hübler,GER,1,0,0
53,Ekaterina Bobrova,RUS,1,0,0
53,Brian Boitano,USA,1,0,0
53,Yuzuru Hanyu,JPN,1,0,0
53,Shizuka Arakawa,JPN,1,0,0
53,Maxim Marinin,RUS,1,0,0
53,Scott Hamilton,USA,1,0,0
53,Roman Kostomarov,RUS,1,0,0
53,Anett Pötzsch,GDR,1,0,0
53,Barbara Ann Scott,CAN,1,0,0
53,Robert Paul,CAN,1,0,0
53,Herma Planck-Szabo,AUT,1,0,0
53,Manfred Schnelldorfer,GER,1,0,0
53,Kurt Oppelt,AUT,1,0,0
53,Paul Falk,GER,1,0,0
53,Hayes Alan Jenkins,USA,1,0,0
53,Peggy Fleming,USA,1,0,0
53,Dorothy Hamill,USA,1,0,0
53,Nikolai Panin,RUS,1,0,0
53,Aleksandr Gorshkov,URS,1,0,0
53,Micheline Lannoy,BEL,1,0,0
53,Natalya Linichuk,URS,1,0,0
53,Oksana Baiul,UKR,1,0,0
53,Maxie Herber,GER,1,0,0
53,Jamie Sale,CAN,1,0,0
53,Helene Engelmann,AUT,1,0,0
53,Evan Lysacek,USA,1,0,0
53,Kristie Yamaguchi,USA,1,0,0
53,Heinrich Burger,GER,1,0,0
53,Dmitri Soloviev,RUS,1,0,0
53,Tatyana Totmianina,RUS,1,0,0
53,Yulia Lipnitskaya,RUS,1,0,0
53,Tatyana Navka,RUS,1,0,0
53,Oleg Vasilyev,URS,1,0,0
53,Sarah Hughes,USA,1,0,0
53,Alexei Yagudin,RUS,1,0,0
53,Adelina Sotnikova,RUS,1,0,0
53,Robin Cousins,GBR,1,0,0
53,Tara Lipinski,USA,1,0,0
53,Ilia Kulik,RUS,1,0,0
53,Aleksei Ulanov,URS,1,0,0
53,Barbara Wagner,CAN,1,0,0
53,Elisabeth Schwarz,AUT,1,0,0
53,Ria Falk,GER,1,0,0
53,Magda Julin-Mauroy,SWE,1,0,0
53,Wolfgang Schwarz,AUT,1,0,0
53,John Curry,GBR,1,0,0
53,Ulrich Salchow,SWE,1,0,0
53,Ondrej Nepala,TCH,1,0,0
53,Beatrix Schuba,AUT,1,0,0
